,time,ten9_comp,Total Stress,S3 Magnitude,Temperature
376,6469616.0,zy,-212710.47,-9.478322e+07,341.44772
377,6469616.0,zz,-9.504575e+07,-9.478322e+07,341.44772
378,6802949.0,xx,-9.4598664e+07,-9.443653e+07,340.90213
379,6802949.0,xy,-2.6767294e-10,-9.443653e+07,340.90213
380,6802949.0,xz,-200164.77,-9.443653e+07,340.90213
381,6802949.0,yx,-2.6767294e-10,-9.443653e+07,340.90213
382,6802949.0,yy,-9.460108e+07,-9.443653e+07,340.90213
383,6802949.0,yz,-206143.67,-9.443653e+07,340.90213
384,6802949.0,zx,-200164.77,-9.443653e+07,340.90213
385,6802949.0,zy,-206143.67,-9.443653e+07,340.90213
386,6802949.0,zz,-9.4941896e+07,-9.443653e+07,340.90213
387,7136282.5,xx,-9.459929e+07,-9.443797e+07,340.90213
388,7136282.5,xy,-2.6755534e-10,-9.443797e+07,340.90213
389,7136282.5,xz,-199931.6,-9.443797e+07,340.90213
390,7136282.5,yx,-2.6755534e-10,-9.443797e+07,340.90213
391,7136282.5,yy,-9.460148e+07,-9.443797e+07,340.90213
392,7136282.5,yz,-206039.33,-9.443797e+07,340.90213
393,7136282.5,zx,-199931.6,-9.443797e+07,340.90213
394,7136282.5,zy,-206039.33,-9.443797e+07,340.90213
395,7136282.5,zz,-9.4945384e+07,-9.443797e+07,340.90213
396,7636282.5,xx,-9.45999e+07,-9.443967e+07,340.90213
397,7636282.5,xy,-2.6738584e-10,-9.443967e+07,340.90213
398,7636282.5,xz,-199607.06,-9.443967e+07,340.90213
399,7636282.5,yx,-2.6738584e-10,-9.443967e+07,340.90213
400,7636282.5,yy,-9.46018e+07,-9.443967e+07,340.90213
401,7636282.5,yz,-205897.44,-9.443967e+07,340.90213
402,7636282.5,zx,-199607.06,-9.443967e+07,340.90213
403,7636282.5,zy,-205897.44,-9.443967e+07,340.90213
404,7636282.5,zz,-9.494979e+07,-9.443967e+07,340.90213
405,8136282.5,xx,-9.410793e+07,-9.4017416e+07,340.38782
406,8136282.5,xy,-2.707305e-10,-9.4017416e+07,340.38782
407,8136282.5,xz,-193570.23,-9.4017416e+07,340.38782
408,8136282.5,yx,-2.707305e-10,-9.4017416e+07,340.38782
409,8136282.5,yy,-9.410966e+07,-9.4017416e+07,340.38782
410,8136282.5,yz,-199810.28,-9.4017416e+07,340.38782
411,8136282.5,zx,-193570.23,-9.4017416e+07,340.38782
412,8136282.5,zy,-199810.28,-9.4017416e+07,340.38782
413,8136282.5,zz,-9.4864216e+07,-9.4017416e+07,340.38782
414,8636283.0,xx,-9.410933e+07,-9.401923e+07,340.38782
415,8636283.0,xy,-2.7063665e-10,-9.401923e+07,340.38782
416,8636283.0,xz,-193161.47,-9.401923e+07,340.38782
417,8636283.0,yx,-2.7063665e-10,-9.401923e+07,340.38782
418,8636283.0,yy,-9.411079e+07,-9.401923e+07,340.38782
419,8636283.0,yz,-199657.27,-9.401923e+07,340.38782
420,8636283.0,zx,-193161.47,-9.401923e+07,340.38782
421,8636283.0,zy,-199657.27,-9.401923e+07,340.38782
422,8636283.0,zz,-9.4868744e+07,-9.401923e+07,340.38782
