time,bname,vname,u
6.160100e+02,ZP,UZ,-2.684163e-04
6.175100e+02,ZP,UZ,-2.697983e-04
6.190200e+02,ZP,UZ,-2.714569e-04
6.205200e+02,ZP,UZ,-2.706276e-04
6.220300e+02,ZP,UZ,-2.697983e-04
6.235300e+02,ZP,UZ,-2.706276e-04
6.250400e+02,ZP,UZ,-2.700749e-04
6.265400e+02,ZP,UZ,-2.703512e-04
6.280500e+02,ZP,UZ,-2.697983e-04
6.295500e+02,ZP,UZ,-2.714569e-04
6.310600e+02,ZP,UZ,-2.711806e-04
6.325600e+02,ZP,UZ,-2.700749e-04
6.340700e+02,ZP,UZ,-2.717335e-04
6.355700e+02,ZP,UZ,-2.711806e-04
6.370800e+02,ZP,UZ,-2.700749e-04
6.385800e+02,ZP,UZ,-2.700749e-04
6.400900e+02,ZP,UZ,-2.703512e-04
6.415900e+02,ZP,UZ,-2.706276e-04
6.430900e+02,ZP,UZ,-2.703512e-04
6.446000e+02,ZP,UZ,-2.697983e-04
6.461000e+02,ZP,UZ,-2.709042e-04
6.476100e+02,ZP,UZ,-2.706276e-04
6.491100e+02,ZP,UZ,-2.711806e-04
6.506200e+02,ZP,UZ,-2.709042e-04
6.521300e+02,ZP,UZ,-2.709042e-04
6.536400e+02,ZP,UZ,-2.711806e-04
6.551400e+02,ZP,UZ,-2.695219e-04
6.581500e+02,ZP,UZ,-2.706276e-04
6.596600e+02,ZP,UZ,-2.706276e-04
6.611600e+02,ZP,UZ,-2.700749e-04
6.626600e+02,ZP,UZ,-2.714569e-04
6.641700e+02,ZP,UZ,-2.711806e-04
6.656700e+02,ZP,UZ,-2.703512e-04
6.671800e+02,ZP,UZ,-2.711806e-04
6.686900e+02,ZP,UZ,-2.700749e-04
6.701900e+02,ZP,UZ,-2.700749e-04
6.717000e+02,ZP,UZ,-2.700749e-04
6.732000e+02,ZP,UZ,-2.700749e-04
6.747100e+02,ZP,UZ,-2.692456e-04
6.762200e+02,ZP,UZ,-2.697983e-04
6.777200e+02,ZP,UZ,-2.695219e-04
6.807300e+02,ZP,UZ,-2.695219e-04
6.822400e+02,ZP,UZ,-2.697983e-04
6.837400e+02,ZP,UZ,-2.706276e-04
6.852500e+02,ZP,UZ,-2.697983e-04
6.867500e+02,ZP,UZ,-2.697983e-04
6.882600e+02,ZP,UZ,-2.711806e-04
6.897600e+02,ZP,UZ,-2.706276e-04
6.912600e+02,ZP,UZ,-2.711806e-04
6.927700e+02,ZP,UZ,-2.703512e-04
6.942700e+02,ZP,UZ,-2.695219e-04
6.957700e+02,ZP,UZ,-2.692456e-04
6.972800e+02,ZP,UZ,-2.695219e-04
6.987800e+02,ZP,UZ,-2.711806e-04
7.002900e+02,ZP,UZ,-2.706276e-04
7.017900e+02,ZP,UZ,-2.703512e-04
7.032900e+02,ZP,UZ,-2.703512e-04
7.048000e+02,ZP,UZ,-2.697983e-04
7.063000e+02,ZP,UZ,-2.695219e-04
7.078000e+02,ZP,UZ,-2.697983e-04
7.093100e+02,ZP,UZ,-2.692456e-04
7.108100e+02,ZP,UZ,-2.692456e-04
7.123100e+02,ZP,UZ,-2.695219e-04
7.138200e+02,ZP,UZ,-2.692456e-04
7.153200e+02,ZP,UZ,-2.697983e-04
7.168300e+02,ZP,UZ,-2.697983e-04
7.183300e+02,ZP,UZ,-2.695219e-04
7.198300e+02,ZP,UZ,-2.703512e-04
7.213400e+02,ZP,UZ,-2.703512e-04
7.228400e+02,ZP,UZ,-2.700749e-04
7.243500e+02,ZP,UZ,-2.695219e-04
7.258500e+02,ZP,UZ,-2.692456e-04
7.273600e+02,ZP,UZ,-2.692456e-04
7.288700e+02,ZP,UZ,-2.695219e-04
7.303700e+02,ZP,UZ,-2.695219e-04
7.318700e+02,ZP,UZ,-2.695219e-04
7.333800e+02,ZP,UZ,-2.692456e-04
7.348800e+02,ZP,UZ,-2.695219e-04
7.363900e+02,ZP,UZ,-2.700749e-04
7.378900e+02,ZP,UZ,-2.695219e-04
7.393900e+02,ZP,UZ,-2.695219e-04
7.409000e+02,ZP,UZ,-2.697983e-04
7.424000e+02,ZP,UZ,-2.700749e-04
7.439100e+02,ZP,UZ,-2.695219e-04
7.454100e+02,ZP,UZ,-2.692456e-04
7.469100e+02,ZP,UZ,-2.711806e-04
