,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
232,505003.375,zy,-52976.953,-7.588653e+07,6.848844e+07,308.1255
233,505003.375,zz,-9.340149e+07,-7.588653e+07,6.848844e+07,308.1255
234,757515.0625,xx,-7.5945624e+07,-7.594552e+07,6.8604664e+07,308.1237
235,757515.0625,xy,4.70903e-11,-7.594552e+07,6.8604664e+07,308.1237
236,757515.0625,xz,-39283.64,-7.594552e+07,6.8604664e+07,308.1237
237,757515.0625,yx,4.70903e-11,-7.594552e+07,6.8604664e+07,308.1237
238,757515.0625,yy,-7.59466e+07,-7.594552e+07,6.8604664e+07,308.1237
239,757515.0625,yz,-52281.67,-7.594552e+07,6.8604664e+07,308.1237
240,757515.0625,zx,-39283.64,-7.594552e+07,6.8604664e+07,308.1237
241,757515.0625,zy,-52281.67,-7.594552e+07,6.8604664e+07,308.1237
242,757515.0625,zz,-9.371253e+07,-7.594552e+07,6.8604664e+07,308.1237
243,1136282.625,xx,-7.599483e+07,-7.599424e+07,6.874205e+07,308.12268
244,1136282.625,xy,5.6811122e-11,-7.599424e+07,6.874205e+07,308.12268
245,1136282.625,xz,-39595.164,-7.599424e+07,6.874205e+07,308.12268
246,1136282.625,yx,5.6811122e-11,-7.599424e+07,6.874205e+07,308.12268
247,1136282.625,yy,-7.599441e+07,-7.599424e+07,6.874205e+07,308.12268
248,1136282.625,yz,-51615.27,-7.599424e+07,6.874205e+07,308.12268
249,1136282.625,zx,-39595.164,-7.599424e+07,6.874205e+07,308.12268
250,1136282.625,zy,-51615.27,-7.599424e+07,6.874205e+07,308.12268
251,1136282.625,zz,-9.3992456e+07,-7.599424e+07,6.874205e+07,308.12268
252,1636282.625,xx,-7.6064584e+07,-7.6062744e+07,6.893474e+07,308.12106
253,1636282.625,xy,6.8181835e-11,-7.6062744e+07,6.893474e+07,308.12106
254,1636282.625,xz,-40041.203,-7.6062744e+07,6.893474e+07,308.12106
255,1636282.625,yx,6.8181835e-11,-7.6062744e+07,6.893474e+07,308.12106
256,1636282.625,yy,-7.60629e+07,-7.6062744e+07,6.893474e+07,308.12106
257,1636282.625,yz,-50462.082,-7.6062744e+07,6.893474e+07,308.12106
258,1636282.625,zx,-40041.203,-7.6062744e+07,6.893474e+07,308.12106
259,1636282.625,zy,-50462.082,-7.6062744e+07,6.893474e+07,308.12106
260,1636282.625,zz,-9.4318664e+07,-7.6062744e+07,6.893474e+07,308.12106
261,2136282.5,xx,-7.609367e+07,-7.60914e+07,6.900157e+07,308.12036
262,2136282.5,xy,7.035641e-11,-7.60914e+07,6.900157e+07,308.12036
263,2136282.5,xz,-40118.25,-7.60914e+07,6.900157e+07,308.12036
264,2136282.5,yx,7.035641e-11,-7.60914e+07,6.900157e+07,308.12036
265,2136282.5,yy,-7.6091544e+07,-7.60914e+07,6.900157e+07,308.12036
266,2136282.5,yz,-49958.94,-7.60914e+07,6.900157e+07,308.12036
267,2136282.5,zx,-40118.25,-7.60914e+07,6.900157e+07,308.12036
268,2136282.5,zy,-49958.94,-7.60914e+07,6.900157e+07,308.12036
269,2136282.5,zz,-9.4390664e+07,-7.60914e+07,6.900157e+07,308.12036
270,2636282.5,xx,-7.612366e+07,-7.6121784e+07,6.906609e+07,308.11984
271,2636282.5,xy,7.1739246e-11,-7.6121784e+07,6.906609e+07,308.11984
272,2636282.5,xz,-39963.14,-7.6121784e+07,6.906609e+07,308.11984
273,2636282.5,yx,7.1739246e-11,-7.6121784e+07,6.906609e+07,308.11984
274,2636282.5,yy,-7.612193e+07,-7.6121784e+07,6.906609e+07,308.11984
275,2636282.5,yz,-49445.645,-7.6121784e+07,6.906609e+07,308.11984
276,2636282.5,zx,-39963.14,-7.6121784e+07,6.906609e+07,308.11984
277,2636282.5,zy,-49445.645,-7.6121784e+07,6.906609e+07,308.11984
278,2636282.5,zz,-9.4442456e+07,-7.6121784e+07,6.906609e+07,308.11984
279,3136282.5,xx,-7.614578e+07,-7.614309e+07,6.9124184e+07,308.11926
280,3136282.5,xy,7.339858e-11,-7.614309e+07,6.9124184e+07,308.11926
281,3136282.5,xz,-39755.566,-7.614309e+07,6.9124184e+07,308.11926
282,3136282.5,yx,7.339858e-11,-7.614309e+07,6.9124184e+07,308.11926
283,3136282.5,yy,-7.6143224e+07,-7.614309e+07,6.9124184e+07,308.11926
284,3136282.5,yz,-48905.08,-7.614309e+07,6.9124184e+07,308.11926
285,3136282.5,zx,-39755.566,-7.614309e+07,6.9124184e+07,308.11926
286,3136282.5,zy,-48905.08,-7.614309e+07,6.9124184e+07,308.11926
287,3136282.5,zz,-9.4491016e+07,-7.614309e+07,6.9124184e+07,308.11926
288,3636282.5,xx,-7.6162e+07,-7.6158904e+07,6.919282e+07,308.11874
289,3636282.5,xy,7.590324e-11,-7.6158904e+07,6.919282e+07,308.11874
290,3636282.5,xz,-39486.2,-7.6158904e+07,6.919282e+07,308.11874
291,3636282.5,yx,7.590324e-11,-7.6158904e+07,6.919282e+07,308.11874
292,3636282.5,yy,-7.615904e+07,-7.6158904e+07,6.919282e+07,308.11874
293,3636282.5,yz,-48300.977,-7.6158904e+07,6.919282e+07,308.11874
294,3636282.5,zx,-39486.2,-7.6158904e+07,6.919282e+07,308.11874
295,3636282.5,zy,-48300.977,-7.6158904e+07,6.919282e+07,308.11874
296,3636282.5,zz,-9.4540984e+07,-7.6158904e+07,6.919282e+07,308.11874
297,4136282.5,xx,-7.6172536e+07,-7.617031e+07,6.926915e+07,308.11816
298,4136282.5,xy,7.9249704e-11,-7.617031e+07,6.926915e+07,308.11816
299,4136282.5,xz,-39202.402,-7.617031e+07,6.926915e+07,308.11816
300,4136282.5,yx,7.9249704e-11,-7.617031e+07,6.926915e+07,308.11816
301,4136282.5,yy,-7.617044e+07,-7.617031e+07,6.926915e+07,308.11816
302,4136282.5,yz,-47617.61,-7.617031e+07,6.926915e+07,308.11816
303,4136282.5,zx,-39202.402,-7.617031e+07,6.926915e+07,308.11816
304,4136282.5,zy,-47617.61,-7.617031e+07,6.926915e+07,308.11816
