,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
382,-1.0,42,yy,-9.737462e+07,-9.737462e+07
383,-1.0,42,yz,-28.535614,-9.737462e+07
384,-1.0,42,zx,0.022891652,-9.737462e+07
385,-1.0,42,zy,-28.535614,-9.737462e+07
386,-1.0,42,zz,-9.742634e+07,-9.737462e+07
387,-1.0,43,xx,-9.737463e+07,-9.737462e+07
388,-1.0,43,xy,-0.07084986,-9.737462e+07
389,-1.0,43,xz,0.05079565,-9.737462e+07
390,-1.0,43,yx,-0.07084986,-9.737462e+07
391,-1.0,43,yy,-9.737462e+07,-9.737462e+07
392,-1.0,43,yz,-29.112194,-9.737462e+07
393,-1.0,43,zx,0.05079565,-9.737462e+07
394,-1.0,43,zy,-29.112194,-9.737462e+07
395,-1.0,43,zz,-9.742634e+07,-9.737462e+07
396,-1.0,44,xx,-9.737463e+07,-9.737462e+07
397,-1.0,44,xy,-0.0112379985,-9.737462e+07
398,-1.0,44,xz,0.06828889,-9.737462e+07
399,-1.0,44,yx,-0.0112379985,-9.737462e+07
400,-1.0,44,yy,-9.737462e+07,-9.737462e+07
401,-1.0,44,yz,-29.722149,-9.737462e+07
402,-1.0,44,zx,0.06828889,-9.737462e+07
403,-1.0,44,zy,-29.722149,-9.737462e+07
404,-1.0,44,zz,-9.742634e+07,-9.737462e+07
405,-1.0,45,xx,-9.737463e+07,-9.737462e+07
406,-1.0,45,xy,0.0058803237,-9.737462e+07
407,-1.0,45,xz,0.15142862,-9.737462e+07
408,-1.0,45,yx,0.0058803237,-9.737462e+07
409,-1.0,45,yy,-9.737462e+07,-9.737462e+07
410,-1.0,45,yz,-30.06997,-9.737462e+07
411,-1.0,45,zx,0.15142862,-9.737462e+07
412,-1.0,45,zy,-30.06997,-9.737462e+07
413,-1.0,45,zz,-9.742634e+07,-9.737462e+07
414,-1.0,46,xx,-9.737463e+07,-9.737462e+07
415,-1.0,46,xy,-0.0764188,-9.737462e+07
416,-1.0,46,xz,0.07118319,-9.737462e+07
417,-1.0,46,yx,-0.0764188,-9.737462e+07
418,-1.0,46,yy,-9.737462e+07,-9.737462e+07
419,-1.0,46,yz,-30.523039,-9.737462e+07
420,-1.0,46,zx,0.07118319,-9.737462e+07
421,-1.0,46,zy,-30.523039,-9.737462e+07
422,-1.0,46,zz,-9.742634e+07,-9.737462e+07
423,-1.0,47,xx,-9.737463e+07,-9.737462e+07
424,-1.0,47,xy,-0.08035039,-9.737462e+07
425,-1.0,47,xz,0.08352755,-9.737462e+07
426,-1.0,47,yx,-0.08035039,-9.737462e+07
427,-1.0,47,yy,-9.737462e+07,-9.737462e+07
428,-1.0,47,yz,-30.985495,-9.737462e+07
429,-1.0,47,zx,0.08352755,-9.737462e+07
430,-1.0,47,zy,-30.985495,-9.737462e+07
431,-1.0,47,zz,-9.742634e+07,-9.737462e+07
432,-1.0,48,xx,-9.737463e+07,-9.737462e+07
433,-1.0,48,xy,-0.03840557,-9.737462e+07
434,-1.0,48,xz,0.08012023,-9.737462e+07
435,-1.0,48,yx,-0.03840557,-9.737462e+07
436,-1.0,48,yy,-9.737462e+07,-9.737462e+07
437,-1.0,48,yz,-31.106098,-9.737462e+07
438,-1.0,48,zx,0.08012023,-9.737462e+07
439,-1.0,48,zy,-31.106098,-9.737462e+07
440,-1.0,48,zz,-9.742634e+07,-9.737462e+07
441,-1.0,49,xx,-9.737462e+07,-9.7374616e+07
442,-1.0,49,xy,-0.11676913,-9.7374616e+07
443,-1.0,49,xz,-0.046378437,-9.7374616e+07
444,-1.0,49,yx,-0.11676913,-9.7374616e+07
445,-1.0,49,yy,-9.7374616e+07,-9.7374616e+07
446,-1.0,49,yz,-31.704664,-9.7374616e+07
447,-1.0,49,zx,-0.046378437,-9.7374616e+07
448,-1.0,49,zy,-31.704664,-9.7374616e+07
449,-1.0,49,zz,-9.742633e+07,-9.7374616e+07
450,-1.0,50,xx,-9.737462e+07,-9.7374616e+07
451,-1.0,50,xy,-0.103873685,-9.7374616e+07
452,-1.0,50,xz,-0.12155273,-9.7374616e+07
453,-1.0,50,yx,-0.103873685,-9.7374616e+07
454,-1.0,50,yy,-9.7374616e+07,-9.7374616e+07
455,-1.0,50,yz,-32.06927,-9.7374616e+07
456,-1.0,50,zx,-0.12155273,-9.7374616e+07
457,-1.0,50,zy,-32.06927,-9.7374616e+07
458,-1.0,50,zz,-9.742633e+07,-9.7374616e+07
459,-1.0,51,xx,-9.737462e+07,-9.7374616e+07
460,-1.0,51,xy,-0.090246044,-9.7374616e+07
461,-1.0,51,xz,-0.18175499,-9.7374616e+07
462,-1.0,51,yx,-0.090246044,-9.7374616e+07
463,-1.0,51,yy,-9.7374616e+07,-9.7374616e+07
464,-1.0,51,yz,-32.39886,-9.7374616e+07
465,-1.0,51,zx,-0.18175499,-9.7374616e+07
466,-1.0,51,zy,-32.39886,-9.7374616e+07
467,-1.0,51,zz,-9.742633e+07,-9.7374616e+07
468,-1.0,52,xx,-9.737462e+07,-9.7374616e+07
469,-1.0,52,xy,-0.07637058,-9.7374616e+07
470,-1.0,52,xz,-0.22979572,-9.7374616e+07
471,-1.0,52,yx,-0.07637058,-9.7374616e+07
472,-1.0,52,yy,-9.7374616e+07,-9.7374616e+07
473,-1.0,52,yz,-32.76869,-9.7374616e+07
474,-1.0,52,zx,-0.22979572,-9.7374616e+07
475,-1.0,52,zy,-32.76869,-9.7374616e+07
476,-1.0,52,zz,-9.742633e+07,-9.7374616e+07
477,-1.0,53,xx,-9.737463e+07,-9.737462e+07
478,-1.0,53,xy,0.012013391,-9.737462e+07
479,-1.0,53,xz,-0.2414663,-9.737462e+07
480,-1.0,53,yx,0.012013391,-9.737462e+07
481,-1.0,53,yy,-9.737462e+07,-9.737462e+07
482,-1.0,53,yz,-33.150383,-9.737462e+07
483,-1.0,53,zx,-0.2414663,-9.737462e+07
484,-1.0,53,zy,-33.150383,-9.737462e+07
